district_name,state_name,grade_10_avg_performance,g3_lang,g3_math,g3_evs,g5_lang,g5_math,g5_evs,g8_lang,g8_math,g8_sci,g8_sst,g3_avg,g5_avg,g8_avg,growth_g3_g5,growth_g5_g8,performance_std,Performance_Class,state_encoded
Adilabad,Telangana,30.043531,38.187095,34.734814666666665,36.920297062500005,35.2105655,29.627173266666667,31.43646538461538,38.95115,28.410560500000003,31.52087158333333,28.63461290909091,36.432398722222224,32.082299550427344,31.87929874810606,-4.350099171794881,-0.2030008023212843,2.572135672435464,Low,32
Agar Malwa,Madhya Pradesh,35.39431133,61.5564385,55.327257083333336,59.2245103,51.986603,40.80511786666667,49.06496807692308,51.130615,37.0898664,37.095049,37.90289036363636,58.702735294444444,47.28556298119658,40.804605190909086,-11.41717231324786,-6.480957790287498,9.061803524620622,Medium,20
Agra,Uttar Pradesh,35.55357283666667,52.945056,47.33308341666666,50.5638184,45.921185,37.33773873333333,40.05759915384616,50.46712,31.73666035,34.90754858333333,34.539435818181815,50.28065260555555,41.10550762905983,37.91269118787879,-9.175144976495725,-3.192816441181037,6.420589689895205,Medium,34
Ahmadnagar,Maharashtra,40.80119250333333,71.218445,65.21465816666667,66.3362806,59.162003,49.42665493333333,52.53938738461538,63.5499,37.0924648,42.75432708333333,42.54662409090909,67.58979458888889,53.70934843931624,46.4858289935606,-13.880446149572656,-7.223519445755635,10.725541030201354,High,21
Ahmedabad,Gujarat,38.95350906,68.03065000000001,59.185584,63.8227846,53.360367,45.261625200000005,47.47412184615385,59.045757,40.20069745,42.276724,39.65657095454546,63.67967286666667,48.69870468205128,45.29493735113636,-14.980968184615392,-3.403767330914917,9.781049191910718,High,11
Aizawl,Mizoram,34.98330959666667,64.003994,49.78434408333334,59.4104111,57.795986,41.2200716,46.363559,59.28405,31.9769287,39.87243616666667,35.875346909090915,57.73291639444445,48.4598722,41.7521904439394,-9.273044194444452,-6.707681756060602,8.024607415920253,Medium,24
Ajmer,Rajasthan,48.59624237,69.2473,62.17112933333334,66.95011600000001,65.84148,55.09529726666666,59.34136284615385,64.91044,46.03978735,47.58457975,47.70384986363637,66.12284844444444,60.092713370940174,51.55966424090909,-6.030135073504269,-8.533049130031081,7.317351417536403,High,29
Akola,Maharashtra,35.26481264,64.4860345,58.6008465,61.4516785,48.958523,39.66446066666666,45.30692961538462,53.95839,35.2866044,36.401190166666666,38.320615318181815,61.51285316666667,44.64330442735044,40.99169997121212,-16.869548739316237,-3.6516044561383154,10.947097166551885,Medium,21
Alappuzha,Kerala,41.44461096,65.132575,56.09533841666666,61.94474760000001,57.822563,44.26080293333334,49.064498846153846,57.9785,31.80127135,40.34537641666667,36.84587395454545,61.05755367222222,50.38262159316239,41.74275543030303,-10.674932079059827,-8.639866162859363,9.675251015957391,High,17
Aligarh,Uttar Pradesh,33.71448048,64.47837,58.12223741666667,60.7828525,48.417336,39.72072426666667,43.17814176923077,50.15429,34.54870565,34.91264133333333,35.21749254545455,61.12781997222222,43.77206734529915,38.70828238219697,-17.35575262692307,-5.063784963102179,11.757974125035616,Low,34
Alipurduar,West Bengal,32.330918413333336,56.4251215,49.12812216666666,56.674579400000006,51.021328,37.61224966666667,44.71156792307692,47.90092,30.7178589,35.3166845,36.35537545454545,54.075941022222224,44.44838186324787,37.57270971363637,-9.627559158974355,-6.875672149611503,8.289766849286563,Low,36
Alirajpur,Madhya Pradesh,28.316612796666668,55.1477215,49.29700558333334,52.282663,50.217846,40.578506866666665,45.36642507692307,43.3491,32.4433161,33.19211333333333,35.47142936363636,52.24246336111111,45.38759264786325,36.11398969924242,-6.854870713247863,-9.27360294862082,8.094407810391935,Low,20
Allahabad,Uttar Pradesh,33.184144466666666,53.246173,50.06913775,53.1063941,49.92131,37.41697973333333,43.859780307692304,48.450394,32.7227909,35.96292258333333,36.7048675,52.140568283333344,43.73269001367521,38.46024374583333,-8.407878269658134,-5.272446267841879,6.899787268411423,Low,34
